state,2015,2016,2017,2018,2019,2020
Alabama,11337604,3702240,1686591,1685070,3376598,1049018
Alaska,131701,37315,34174,72358,4560,18673
Arizona,84308277,85472025,86275486,88693242,97229342,80347622
Arkansas,832958,1043702,902718,613089,762043,2340395
California,211935128,197663149,203634881,202912270,187642118,180776417
Colorado,4098132,2784646,3499636,2227384,1266885,995740
Connecticut,2340367,3133278,2567841,2794386,2952873,3985507
Delaware,205238,802550,730707,905740,752612,564729
Florida,36064549,28907578,28158878,19549588,22752021,16527941
Georgia,26936163,28017688,25973544,33307463,31939039,35630757
Idaho,2230942,1343679,2543480,2478499,3088505,3203723
Illinois,61124610,48199742,52544179,56030816,50712352,44435342
Indiana,13006853,12112264,13720239,14086573,16912260,14253468
Iowa,3878214,3758546,4136699,3275180,2554711,1946348
Kansas,444919,231358,295206,489806,328536,584698
Kentucky,2444234,2482090,3400968,4697680,4862596,6908561
Louisiana,13382319,14669261,11546068,12847436,11110237,8946546
Maine,4358342,4252419,3909751,4160581,3586675,2955612
Maryland,2586355,4276749,3559478,2106499,2112173,2253266
Massachusetts,12666772,10406355,11263516,9825963,13544651,7762681
Michigan,25182026,28226330,31293566,39242703,40794167,39097914
Minnesota,9637817,9168259,10135858,11571282,11119746,13135049
Mississippi,2814999,1012590,1163877,708566,2018481,957069
Missouri,6069561,6931775,5910337,7253766,6902514,6026018
Nebraska,83073,571385,612271,677823,314535,286037
Nevada,1040971,1408531,2484193,2405361,3050798,2366318
New Hampshire,348570,452380,478587,563204,434672,654440
New Jersey,14644366,15996778,18741943,15267982,13812744,12603765
New Mexico,350284,105461,379126,443862,177013,32928
New York,32334977,32954265,34759220,38202649,38903963,37700784
North Carolina,9993229,9152894,13167757,19179539,6522857,8580449
North Dakota,16493,25630,209675,610389,810273,108360
Ohio,46129643,48398815,55664935,40573591,40568964,34587502
Oklahoma,1242994,1361914,1728810,2045372,2277104,2987039
Oregon,20146016,16846655,17795103,23564292,18952453,19456227
Pennsylvania,14099209,15244658,19376393,22072873,24130742,29092817
Rhode Island,225427,392074,289983,265325,602251,293804
South Carolina,6474109,4173789,4047688,4522901,3742071,3969624
South Dakota,296900,214953,358121,350434,156563,925752
Tennessee,23073747,35266076,40352190,46471858,53829445,43709095
Texas,371067017,343406585,347259673,325950359,342204257,295158285
Utah,2531223,4104598,3382982,3125746,3737405,7283908
Vermont,280252,431200,495669,249159,380934,149300
Virginia,19188145,22116732,22110497,20738115,21285703,25259649
Washington,39886144,38872364,44187730,50151394,55054131,71015784
West Virginia,5247,13518,150613,91867,32966,71417
Wisconsin,6610750,7232810,16349544,11895122,10012807,11677677
